"name","code","price","measurement","use_for","years_of_circulation","category","space","location","forsalewhat","introduction","score","suggest","location_advantage","climate","related_support","land","status"
"张掖肃南县 1000亩 水浇地 转包","土地编码:T560550 更新时间:2018-10-21 21:22:42 104 次查看","","","","","","","甘肃/张掖/肃南县","玉米 小麦","该土地位于甘肃张掖明花乡中沙井村01号，土地性质为耕地，面积：1000亩，价格为：200万元，可流转50年；","84.3","经济作物种植、粮油种植、休闲农业","良","一般","一般","优","优"
"滁州定远县600亩水产养殖用地出租","土地编码：69128 更新时间：2018-10-21 21:22:13 662 次查看","500","元/亩/年","养殖用地|水产养殖用地","10 年","出租","600 亩","安徽/滁州/定远县","鱼 龙虾 对虾 河蟹","定远600亩左右水稻田土地平整每块田亩都在10亩左右适合大型机械水源特别充足道路交通特别好，500每亩每年价格特别合适喜欢有兴趣的老板抓紧了。","86.66","水产养殖、牲畜饲养、休闲农业","良","良","一般","良","良"
"滁州全椒县500亩水库转让，可投料投肥。精养池一个。","土地编码：90069 更新时间：2018-10-21 21:22:13 605 次查看","240","万元","水域|水库","25 年","转让","500 亩","安徽/滁州/全椒县","","滁州全椒县500亩水库转让，可投料投肥。精养池一个。水深5米。住房两间。现地主在养鱼。机械齐全。转让不包括鱼。","82.4","水产养殖、休闲农业、生态农场","良","良","一般","良","一般"
"来安县90亩坑塘转包水深2米左右。可养殖龙虾。鱼类等。","土地编码：93710 更新时间：2018-10-21 21:22:13 653 次查看","3.5","万元","水域|坑塘","9 年","转包","90 亩","安徽/滁州/来安县","鱼 河蟹 对虾 龙虾","来安县90亩坑塘转包水深2米左右。可养殖龙虾。鱼类等。","78.17","水产养殖、休闲农业、生态农场","良","良","一般","一般","一般"
"滁州南谯区 600亩 苗圃转让 基本农田改造的 水电路三通 到高速入口4公里","土地编码：104466 更新时间：2018-10-21 21:22:13 66 次查看","360","万元","林地|其它林地","7 年","转让","600 亩","安徽/滁州/南谯区","","实测土地600亩，交地租550亩，每亩每年500元，一年一付，合同到2025年，蜀桧45000棵，高度2-2.5米，龙柏20000棵高度2-2.3米，紫叶李13万棵，D径3.5-6公分，国槐3.3万棵胸径3-5公分，栾树7000棵其中8-10公分4000棵左右，5-8公分3000棵，榉树4000棵6-9公分，冬青10000棵4-6公分7000棵，6-8公分3000棵，实生紫薇3000棵3公分左右，高杆红叶石楠2600棵D经4-6公分，挂价400万，有意者面谈。","87.91","经济作物种植、林木种植、休闲农业","一般","良","良","良","优"
"滁州南谯区600亩平坦路渠配套水田出租","土地编码：50028 更新时间：2018-10-21 21:22:12 464 次查看","570","元/亩/年","耕地|水田","10 年","出租","600 亩","安徽/滁州/南谯区","水稻","在滁州南谯区有一片平坦平整路渠配套完善的水稻田600亩现对外出租，水源有保障，自流灌溉，年亩租金570元，一季一交无压力，不但适合稻麦二季，而且还适合搞其它养殖种植业，因季节己到，欲租者从速","80.95","经济作物种植、水稻种植、休闲农业","一般","良","一般","良","一般"
"滁州定远县2000亩水田出租 土地平整 水电路三通 适合种植水稻小麦和经济作物","土地编码：73010 更新时间：2018-10-21 21:22:12 397 次查看","550","元/亩/年","耕地|水田","7 年","出租","2000 亩","安徽/滁州/定远县","","定远2000亩水田出租，土地平整水源方便适合种植水稻小麦和经济作物 水电路三通","86.16","经济作物种植、水稻种植、休闲农业","良","良","一般","优","一般"
"来安县400亩水田（适合龙虾养殖）出租","土地编码：79612 更新时间：2018-10-21 21:22:12 288 次查看","650","元/亩/年","耕地|水田","5 年","出租","400 亩","安徽/滁州/来安县","水稻 莲藕 稻田养虾","来安县400亩水田对外出租，水电路三通，土地整块水源充足，适合养殖经济作物，这块地特别适合养龙虾，水源不需要担心，感兴趣的老板打电话质询。","78.7","经济作物种植、水稻种植、休闲农业","良","良","一般","良","一般"
"滁州来安县500亩水田出租滁州来安400-500亩精品水田，平整连片，全水泥路到田边，田两测就是滁州两大河，来河和滁河，水源绝对不用烦，三相电全部接通，绝对精品中的精品","土地编码：83055 更新时间：2018-10-21 21:22:12 219 次查看","750","元/亩/年","耕地|水田","8 年","出租","500 亩","安徽/滁州/来安县","水稻 莲藕 茭白 稻田养虾","滁州来安400-500亩精品水田，平整连片，全水泥路到田边，田两测就是滁州两大河，来河和滁河，水源绝对不用烦，三相电全部接通，绝对精品中的精品，最主要的就是现在就可以签合同，老板们还不行动起来","84.01","经济作物种植、水稻种植、休闲农业","良","良","一般","良","良"
"滁州来安县200亩水产养殖用地出租 租金年付 排灌非常方便 水电路三通","土地编码：106323 更新时间：2018-10-21 21:22:12 103 次查看","500","元/亩/年","养殖用地|水产养殖用地","10 年","出租","200 亩","安徽/滁州/来安县","鱼 龙虾 对虾 河蟹 牛蛙","靠近柏油路 离河道很近 上水非常方便 上水只收电费 住房六间\xa0 适合养殖龙虾 对虾 基围虾 螃蟹 精养鱼\xa0","86.66","水产养殖、牲畜饲养、休闲农业","良","良","良","一般","优"
"昆明西山区1亩水浇地转让","土地编码：107492 更新时间：2018-10-21 21:20:42 3 次查看","28","万元","耕地|水浇地","10 年","转让","1 亩","云南/昆明/西山区","","该土地位于云南昆明，土地性质为耕地，面积：1亩，价格为：28万元，可流转10年；","76.93","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","一般"
"运城稷山县50亩水浇地出租","土地编码：107510 更新时间：2018-10-21 21:10:59 1 次查看","400","元/亩/年","耕地|水浇地","3 年","出租","50 亩","山西/运城/稷山县","玉米 小麦","50亩水浇地出租，交通方便","82.04","经济作物种植、粮油种植、休闲农业","良","良","一般","一般","优"
"运城稷山县100亩水浇地出租","土地编码：107508 更新时间：2018-10-21 20:55:04 2 次查看","450","元/亩/年","耕地|水浇地","3 年","出租","100 亩","山西/运城/稷山县","玉米 小麦","100亩水浇的出租，交通方便。","82.04","经济作物种植、粮油种植、休闲农业","良","良","一般","一般","优"
"滁州南谯区革命纪念基地旁240亩生态园转让 证件齐全 接手就可运营","土地编码：51343 更新时间：2018-10-21 20:54:40 1462 次查看","450","万元","商业及住宅|综合用地","16 年","转让","152 平米","安徽/滁州/南谯区","","红色旅游景点有高速出口政府确定修水泥路水库80亩36年使用权林地152亩16年使用权林地有三角衫7万多棵楠树桂花等等四万多棵一起有11多万棵有营业执照餐饮住宿养殖种植垂钓一体","","","","","","",""
